Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2025-07-09;16;19;26;34;38;44;20
2025-07-05;6;13;17;28;35;40;1
2025-07-02;1;8;14;17;18;19;26
2025-06-28;10;34;36;39;40;43;8
2025-06-25;1;9;22;37;42;44;14
2025-06-21;1;7;16;23;27;32;12
2025-06-18;7;19;22;24;35;40;42
2025-06-14;4;8;10;19;22;23;7
2025-06-11;20;26;29;32;38;45;6
2025-06-07;1;4;11;26;36;44;20
2025-06-04;2;4;10;15;29;45;14
2025-05-31;2;3;8;22;27;44;21
2025-05-28;1;3;6;34;40;44;45
2025-05-24;15;19;28;36;39;45;33
2025-05-21;7;9;11;12;14;25;41
2025-05-17;4;7;9;14;43;44;41
2025-05-14;3;7;19;21;35;41;32
2025-05-10;1;15;19;24;25;32;45
2025-05-07;4;7;17;25;33;36;18
2025-05-03;10;12;15;19;22;30;34
2025-04-30;15;17;20;26;42;45;27
2025-04-26;4;9;13;29;38;43;23
2025-04-23;1;3;26;31;36;41;15
2025-04-19;4;6;24;26;42;44;29
2025-04-16;4;10;11;18;27;35;37
2025-04-12;17;21;25;28;29;35;10
2025-04-09;1;3;10;14;27;29;15
2025-04-05;3;20;25;27;29;41;8
2025-04-02;11;16;25;30;43;45;21
2025-03-29;11;14;17;18;23;33;43
2025-03-26;13;21;22;29;32;35;17
2025-03-22;7;13;15;22;24;40;37
2025-03-19;1;8;16;23;35;36;17
2025-03-15;7;11;13;14;21;29;45
2025-03-12;8;14;18;24;31;44;32
2025-03-08;29;30;31;34;42;45;9
2025-03-05;11;17;24;28;36;39;42
2025-03-01;8;18;26;27;33;43;25
2025-02-26;20;25;26;30;38;39;12
2025-02-22;5;9;16;18;19;42;34
2025-02-19;4;6;12;28;31;36;23
2025-02-15;2;17;22;26;42;44;40
2025-02-12;8;18;21;28;31;44;35
2025-02-08;1;4;5;19;20;37;39
2025-02-05;9;20;29;32;39;41;19
2025-02-01;3;35;37;41;42;44;13
2025-01-29;8;15;17;26;36;44;29
2025-01-25;1;8;16;19;28;42;24
2025-01-22;1;16;17;19;27;30;6
2025-01-18;2;3;20;33;34;44;7
2025-01-15;6;18;27;28;33;44;5
2025-01-11;11;12;14;33;41;43;39
2025-01-08;2;3;6;35;39;41;37
2025-01-04;3;7;9;36;37;42;6
2025-01-01;18;21;37;41;44;45;34
